,INDEX,PARENT1,MSTATUS,SEX,EDUCATION,JOB,CAR_USE,CAR_TYPE,RED_CAR,REVOKED,URBANICITY,INCOME,HOME_VAL,BLUEBOOK,OLDCLAIM,KIDSDRIV,AGE,HOMEKIDS,YOJ,TRAVTIME,TIF,CLM_FREQ,MVR_PTS,CAR_AGE,TARGET_FLAG
0,1,0,0,0,0,0,0,0,0,0,0,18.0,18.0,14230.0,4461.0,0,18.0,0,18.0,14,11,2,3,18.0,0
1,2,0,0,0,1,1,1,0,0,0,0,1.0,1.0,14940.0,0.0,0,1.0,0,1.0,22,1,0,0,1.0,0
2,4,0,1,1,1,2,0,1,1,0,0,10.0,10.0,4010.0,38690.0,0,10.0,1,10.0,5,4,2,3,10.0,0
3,5,0,1,0,2,1,0,0,0,0,0,6.0,6.0,15440.0,0.0,0,6.0,0,6.0,32,7,0,0,6.0,0
4,6,0,1,1,0,3,0,1,1,1,0,17.0,17.0,18000.0,19217.0,0,17.0,0,17.0,36,1,2,3,17.0,0
5,7,1,0,1,3,1,1,2,1,0,0,7.0,7.0,17430.0,0.0,0,7.0,1,7.0,46,1,0,0,7.0,1
6,8,0,1,1,2,1,0,1,1,0,0,1.0,1.0,8780.0,0.0,0,1.0,0,1.0,33,1,0,0,1.0,0
7,11,0,1,0,3,1,1,3,0,1,0,7.0,7.0,16970.0,2374.0,1,7.0,2,7.0,44,1,1,10,7.0,1
8,12,0,0,1,3,2,0,1,1,0,0,1.0,1.0,11200.0,0.0,0,1.0,0,1.0,34,1,0,0,1.0,1
9,13,0,0,0,3,0,1,3,1,0,1,17.0,17.0,18510.0,0.0,0,17.0,0,17.0,48,7,0,1,17.0,0
10,14,0,0,1,4,4,0,2,1,0,0,11.0,11.0,18300.0,0.0,0,11.0,0,11.0,15,1,0,0,11.0,1
11,15,0,1,1,4,0,0,0,1,0,1,1.0,1.0,22420.0,0.0,0,1.0,0,1.0,36,7,0,0,1.0,0
12,16,0,1,0,3,5,1,3,0,1,0,9.0,9.0,17600.0,5028.0,0,9.0,0,9.0,25,7,2,3,9.0,0
13,17,0,0,0,0,6,1,4,0,0,0,10.0,10.0,28340.0,0.0,0,10.0,0,10.0,64,6,0,3,10.0,1
14,19,0,1,1,2,7,0,1,1,0,0,5.0,5.0,6000.0,0.0,0,5.0,0,5.0,48,1,0,3,5.0,1
15,20,1,0,1,3,2,0,1,1,0,1,13.0,13.0,10590.0,0.0,0,13.0,3,13.0,43,6,0,0,13.0,0
16,22,0,1,0,4,4,0,0,1,0,0,16.0,16.0,14190.0,0.0,0,16.0,0,16.0,42,6,0,0,16.0,0
17,23,0,1,1,4,4,0,1,1,0,0,20.0,20.0,8300.0,0.0,0,20.0,3,20.0,27,7,0,0,20.0,0
18,24,0,1,1,2,2,0,0,1,0,0,7.0,7.0,17330.0,0.0,0,7.0,2,7.0,48,4,0,0,7.0,0
19,25,0,1,1,1,1,1,1,1,0,0,1.0,1.0,8710.0,8935.0,0,1.0,1,1.0,29,6,2,0,1.0,1
20,26,0,1,0,2,1,1,4,0,0,0,1.0,1.0,26560.0,0.0,0,1.0,0,1.0,52,1,0,3,1.0,1
21,27,0,1,1,4,4,0,1,1,0,0,14.0,14.0,11130.0,8250.0,0,14.0,0,14.0,36,6,1,5,14.0,0
22,28,0,0,1,2,1,0,0,1,0,0,5.0,5.0,19700.0,0.0,0,5.0,0,5.0,29,10,0,1,5.0,0
23,29,0,1,1,1,7,0,1,1,0,0,11.0,11.0,5900.0,3338.0,2,11.0,2,11.0,8,6,3,0,11.0,0
24,32,0,1,1,3,0,0,1,1,0,1,15.0,15.0,16830.0,0.0,0,15.0,1,15.0,27,9,0,2,15.0,0
25,33,0,1,1,1,2,0,1,1,0,0,1.0,1.0,10030.0,0.0,0,1.0,1,1.0,26,1,0,0,1.0,1
26,34,0,1,0,3,5,0,0,1,0,0,12.0,12.0,22090.0,0.0,1,12.0,2,12.0,16,17,0,0,12.0,0
27,35,0,0,1,3,2,0,1,1,0,0,12.0,12.0,12220.0,0.0,0,12.0,0,12.0,26,6,0,3,12.0,0
28,36,0,1,1,4,7,0,1,1,1,1,12.0,12.0,14130.0,38127.0,0,12.0,2,12.0,15,6,2,4,12.0,0
29,38,0,1,0,3,2,0,0,1,0,0,1.0,1.0,15880.0,0.0,0,1.0,0,1.0,30,1,0,1,1.0,0
30,40,0,1,1,3,0,0,1,1,0,0,10.0,10.0,1500.0,0.0,0,10.0,0,10.0,37,4,0,1,10.0,0
31,41,0,0,0,4,6,1,4,1,0,0,15.0,15.0,25810.0,1431.0,0,15.0,0,15.0,12,6,2,5,15.0,0
32,42,0,1,0,3,1,1,3,0,0,0,13.0,13.0,16640.0,0.0,0,13.0,0,13.0,38,4,0,0,13.0,0
33,43,0,1,1,0,7,0,0,1,0,1,12.0,12.0,13220.0,0.0,0,12.0,0,12.0,65,1,0,0,12.0,0
34,44,0,0,1,0,3,0,0,1,0,0,14.0,14.0,17900.0,0.0,0,14.0,0,14.0,18,1,0,0,14.0,0
35,45,0,1,1,1,2,0,1,1,0,1,9.0,9.0,12080.0,0.0,0,9.0,0,9.0,47,1,0,2,9.0,0
36,46,0,1,1,4,6,1,3,1,0,0,15.0,15.0,29450.0,0.0,0,15.0,2,15.0,38,6,0,0,15.0,0
37,48,0,1,1,0,3,0,1,1,0,0,11.0,11.0,16270.0,0.0,0,11.0,0,11.0,10,1,0,0,11.0,0
38,49,0,0,1,1,8,1,1,1,0,1,6.0,6.0,9280.0,0.0,0,6.0,0,6.0,48,1,0,1,6.0,0
39,50,0,1,0,3,8,1,5,1,0,0,7.0,7.0,6450.0,0.0,0,7.0,0,7.0,22,1,0,0,7.0,0
40,51,0,1,1,3,5,0,2,1,0,0,8.0,8.0,23080.0,0.0,0,8.0,0,8.0,40,1,0,0,8.0,0
41,52,0,0,1,1,2,0,0,1,0,1,1.0,1.0,20120.0,0.0,0,1.0,0,1.0,44,4,0,0,1.0,0
42,53,0,1,0,3,2,1,4,0,0,0,5.0,5.0,29270.0,0.0,0,5.0,0,5.0,5,4,0,1,5.0,0
43,54,0,1,0,3,8,1,0,0,0,0,5.0,5.0,4600.0,0.0,0,5.0,1,5.0,62,6,0,2,5.0,0
44,55,0,1,1,1,8,1,1,1,0,0,8.0,8.0,19450.0,2981.0,0,8.0,0,8.0,35,6,2,5,8.0,0
45,56,0,1,0,4,0,0,0,0,0,0,15.0,15.0,29230.0,0.0,0,15.0,0,15.0,36,10,0,0,15.0,0
46,57,0,1,1,1,2,0,1,1,0,1,5.0,5.0,4040.0,0.0,0,5.0,3,5.0,33,6,0,0,5.0,0
47,58,0,1,0,2,2,0,0,0,0,0,1.0,1.0,12270.0,0.0,0,1.0,3,1.0,40,18,0,3,1.0,0
48,59,0,0,0,4,4,0,0,0,0,0,8.0,8.0,31930.0,0.0,0,8.0,0,8.0,10,1,0,0,8.0,0
49,61,0,0,0,2,1,1,5,0,1,0,6.0,6.0,12230.0,26104.0,0,6.0,0,6.0,20,4,1,13,6.0,1
50,65,0,1,1,1,7,0,1,1,0,0,1.0,1.0,10520.0,7838.0,0,1.0,2,1.0,37,1,1,1,1.0,1
51,66,0,1,0,3,5,0,0,0,0,0,6.0,6.0,21770.0,0.0,0,6.0,0,6.0,30,13,0,0,6.0,0
52,67,0,1,1,4,4,0,3,1,1,0,13.0,13.0,32340.0,27877.0,1,13.0,1,13.0,50,6,2,0,13.0,1
53,69,0,1,0,3,0,1,4,0,0,0,10.0,10.0,28560.0,1554.0,0,10.0,0,10.0,14,13,5,1,10.0,0
54,70,1,0,0,3,2,0,0,1,0,0,10.0,10.0,14220.0,0.0,1,10.0,2,10.0,24,4,0,0,10.0,1
55,71,0,1,1,1,7,0,1,1,0,0,1.0,1.0,6880.0,7896.0,0,1.0,4,1.0,46,13,3,0,1.0,1
56,72,0,1,1,1,0,0,1,1,1,0,8.0,8.0,10040.0,0.0,0,8.0,3,8.0,20,4,0,0,8.0,0
57,73,0,0,1,2,2,0,2,1,1,0,10.0,10.0,2920.0,24767.0,0,10.0,0,10.0,13,4,3,2,10.0,1
58,74,0,1,1,2,7,0,5,1,0,0,1.0,1.0,22690.0,0.0,1,1.0,4,1.0,35,10,0,2,1.0,0
59,77,1,0,1,4,5,0,2,1,0,0,15.0,15.0,19510.0,8890.0,2,15.0,3,15.0,29,1,3,0,15.0,1
